date,UBS SECURITIES HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2024-03-01,69.18331682793011,8.602003263002823,2.6108489428763058,2.7763713301855097,4.330850796913788,1.6110657414873508,0.718665896256933,0.40142873701367937,0.347406397538127,0.21515795548401853,90.79711588868864
2024-03-04,69.1888287214903,8.567754014094294,2.608947200674158,2.7804649108579294,4.338686619445011,1.6146758283795632,0.7188271897820101,0.4015896437437323,0.3512421148611032,0.21480339337853335,90.78581963670665
2024-03-05,69.18373592033879,8.538664933137323,2.575005937303621,2.7686998955395574,4.381325355728937,1.616351940150948,0.7165064196370161,0.40835855666663146,0.3518867732347126,0.21570591510158654,90.75624164683911
2024-03-06,69.17774059746422,8.504569757580088,2.5915091916680226,2.771407460708717,4.372759554288358,1.6155783501026169,0.7151204041337558,0.409357777145726,0.35394968003026284,0.2161894088817936,90.72818218200356
2024-03-07,69.1792555446422,8.197162188053037,2.6286092810692456,2.75116518777738,4.656326077746316,1.621670371733226,0.715958460019448,0.41074379264898636,0.3536595837621386,0.21696299893012497,90.73151348638211
2024-03-08,69.17161634291493,8.231667753130912,2.5663675150972542,2.722574588907802,4.662577362228125,1.6246358002518293,0.7165386525556965,0.410582628055584,0.3543364750544285,0.21631834055651553,90.67721545875308
2024-03-11,69.17300235841819,8.235471237535208,2.5673989684950294,2.726152442881334,4.665787503065351,1.632403933653823,0.7134120594436908,0.40993796968197455,0.3532405558192925,0.21622164180047412,90.69302867079438
2024-03-12,69.17461400435222,8.24312707144852,2.5193516129223577,2.724366352391412,4.70863085391706,1.6298253001593852,0.7134120594436908,0.40919661255232365,0.3477609596436122,0.21851017902678763,90.68879500585737
2024-03-13,69.17687030865986,8.251217534037318,2.5354680722625935,2.698515551609673,4.609931078283961,1.631727042361533,0.7174089413600693,0.4095189417391284,0.34737416461944653,0.21928376907511893,90.5973154040087
2024-03-14,69.17541982731923,8.23876769812866,2.549102596864433,2.689490334379141,4.68337442815579,1.633370921214237,0.714862540784312,0.4081973920732291,0.34672950624583715,0.2194449336685213,90.65876017883339
2024-03-15,69.1797712713411,8.215569988883512,2.5846232732503136,2.713181529609288,4.640981048848859,1.6350148000669413,0.7141534165733416,0.40845525542267286,0.3579143290279609,0.2178332877344977,90.66749820075847
2024-03-18,69.1824143706729,8.229268979322711,2.585429096217325,2.7180487003300393,4.575623842354726,1.6288260796802907,0.7131541960942469,0.3903081222055671,0.3594292762059431,0.2201218249608112,90.60262448804454
2024-03-19,69.17374371554784,8.179337738584842,2.6040919561333182,2.7225290760266248,4.644557806903157,1.6286649150868884,0.7156038979139628,0.38370037387607037,0.35920364577517977,0.2239253093651069,90.63535843521299
2024-03-20,69.17709593909062,8.188556353327456,2.6122146516407976,2.7317799236879203,4.6478423413166965,1.6224117288628765,0.714798074946951,0.3763190354982423,0.3526281303643635,0.2205086199849769,90.6441547987209
2024-03-21,69.17052042367979,8.184034268234097,2.59705041718422,2.768783314333102,4.6331215673553245,1.626795405803421,0.7197619444237437,0.3776405851641416,0.35462657132255276,0.22031522247289406,90.6526497199733
2024-03-22,69.17042601346098,8.185452516656039,2.602272150010456,2.7707817552912917,4.554551894096554,1.6296641355659829,0.7291369210548777,0.37780410276060766,0.3557547234763693,0.2226682255365685,90.59851243790973
2024-03-25,69.1725533860939,8.201021016378707,2.607783979104817,2.7420299918283106,4.630194496009951,1.6310179181505629,0.7200794709056652,0.3770885319659012,0.35349841916873626,0.22540802362440862,90.66067523323096
2024-03-26,69.17264286467615,8.22148659897066,2.5802248336330136,2.7410952371865767,4.617204629781721,1.6389472161459588,0.7123435704223519,0.3783778487131201,0.35478773591595514,0.22827675338697065,90.64538728883248
2024-03-27,69.17228723888435,8.23518098010249,2.5864457869383446,2.7406117434063697,4.5514607571950965,1.6357561571965922,0.712762598365198,0.37811998536367625,0.3571407389796296,0.22747093041995883,90.59723691685171
2024-03-28,69.16893501534159,8.221610921338012,2.5856721968900134,2.7588878082981974,4.59268666018742,1.6349503342295804,0.7246565453582922,0.37621824316152847,0.35830112405212655,0.2267940391276689,90.64871288798442
2024-04-02,69.17960411142482,8.268767681367542,2.605108646854338,2.7589200412168777,4.587687785760941,1.6364652814075626,0.7260747937802329,0.350850936159997,0.36007393457955256,0.2294693713781481,90.70302258393001
2024-04-03,69.1824406082687,8.2987120628217,2.6331512861063486,2.7276991394842165,4.563783853267502,1.638689352796515,0.7438673648918535,0.3384412624680153,0.3594292762059431,0.23033966018252083,90.71655386649331
2024-04-05,69.20352151727826,8.322409382306397,2.8688383874979597,2.8042746909959018,4.275586104053534,1.6618648213277747,0.7580817597007548,0.32989934562017814,0.36903468597272376,0.23994506994930148,90.83345576470279
2024-04-08,69.1785506751765,8.33050190780199,2.9181547530790817,2.8375068301554682,4.200526466707392,1.6798830228701582,0.7579848353142826,0.3328645485083508,0.3727737045396585,0.2441675822964433,90.85291432644934
2024-04-09,69.21103230305751,8.325167359760373,2.9181547530790817,2.8375068301554682,4.156789619349859,1.6853303861271582,0.7579848353142826,0.33267115099626793,0.3745465150670844,0.24848679339962657,90.84767054630672
2024-04-10,69.21686623570824,8.33103375096022,2.929307342942525,2.8709001339084375,4.10527174542286,1.6929051220170692,0.7571467794285903,0.33331580936987737,0.37486884425388917,0.24945378096004073,90.86106954497176
2024-04-11,69.19478691204255,8.358282042164268,2.9540622244891277,2.8757673046291887,4.078486189999389,1.6946779325444952,0.7236245440008994,0.3339282348248063,0.3750300088472915,0.25409532125002865,90.84274071479204
2024-04-12,69.18324752715495,8.416043432439674,2.9156083525033245,2.911578077283193,4.064335938698662,1.692776190342347,0.7163721372977933,0.3342505640116111,0.3756424343022205,0.2540630883313482,90.86391774236512
2024-04-15,69.18302189672418,8.418396435503347,2.9349481037116076,2.9366552880166004,4.071566104687879,1.6955159884301871,0.7145670938516868,0.3338960019061259,0.3767061206186761,0.25909142364550186,90.92436445709579
2024-04-16,69.1879535332823,8.403407161329369,2.9436187588366547,2.9799440978044744,4.036288464508849,1.716338453897772,0.7148571901198111,0.33670026583132695,0.3792202882757529,0.26047743914876215,90.95880565303507
2024-04-17,69.18505257060104,8.421859669218053,2.9966096771473505,2.9659227781784687,3.9996621990122287,1.723429696007476,0.7147282584450891,0.3399880235367351,0.3769639839681198,0.2587690944586971,90.98298595057327
2024-04-18,69.18608402399883,8.399075314922062,3.0700362659014657,2.9905809609690297,3.940502738121976,1.7457671086530429,0.7112471032275982,0.3408905452597883,0.37860786282082387,0.26702072164089796,91.0298126455155
2024-04-19,69.20494028142691,8.402495582156165,3.091761253092104,2.943810995963665,3.9478721825528114,1.751762431527611,0.7096676902122551,0.34881984325518445,0.37989717956804275,0.2670851874782589,91.048112627233
2024-04-22,69.19333643070193,8.402237718806722,3.107619849082896,3.0047634451884373,3.8730714722424286,1.762012499668001,0.6745338088505406,0.3527200264155215,0.3834428006228947,0.2679554762826316,91.021693527862
2024-04-23,69.18385995260988,8.407334645771828,3.133083854840469,3.0174553825493042,3.851378717970471,1.7676532604370836,0.672922162916517,0.3523654643100363,0.3908886048380837,0.27072750728915224,91.04766955353281
