date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,BOCI SECURITIES LTD,CITIBANK N.A.,ABCI SECURITIES CO LTD,CITIC SECURITIES BROKERAGE (HK) LTD,PHILLIP SECURITIES (HONG KONG) LTD,SHANGHAI COMMERCIAL BANK LTD
2024-03-01,9.679905212086167,7.198678931703497,3.318334781958579,0.0,2.4475364116931044,1.986494352073319,28.30843004703422,0.0,0.0,3.9435781173833853
2024-03-04,9.723180470339477,7.146828761166662,3.327150112343512,4.05295104342039,2.4533865854940147,2.0933601981488485,0.0,0.0,0.0,0.0
2024-03-05,9.756117750232272,7.127996009889761,3.3206588236055157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,9.769340745809671,7.130239912169562,3.3233835620881313,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-07,9.768138655302636,7.146267785596713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,0.0,7.149473360282142,3.337407951336889,4.064971948490754,0.0,2.0996912081525734,0.0,0.0,0.0,0.0
2024-03-11,0.0,7.159410641806977,3.335644885259902,4.068498080644726,0.0,2.0992905113168945,0.0,0.0,0.0,0.0
2024-03-12,9.76749754036555,7.161013429149691,3.337728508805432,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-13,9.75443482352242,7.16181482282105,3.332679728675879,0.0,0.0,2.1006528805582025,0.0,0.0,2.042311701771158,0.0
2024-03-14,9.760605554791873,7.157887993831396,3.3286727603190918,4.066574735833468,2.4694144589211655,2.094241731187342,0.0,0.0,0.0,3.939571149026598
2024-03-15,9.77503064087631,7.159891478009792,3.330355687028942,4.053752437091748,2.469654877022573,2.090956017134776,0.0,0.0,0.0,3.9387697553552403
2024-03-18,9.757159562005038,7.1725534980172405,3.331237220067436,4.052149649749032,2.4698151557568444,2.0940814524530706,0.0,0.0,0.0,0.0
2024-03-19,9.765093359351477,0.0,3.3325194499416075,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-20,9.769100327708264,7.171351407510204,3.3321988924730643,4.049825608102096,2.473822124113632,0.0,0.0,0.0,0.0,0.0
2024-03-21,9.779839002904456,7.151316565726265,3.3293138752561777,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-22,9.789616005695018,7.151717262561943,0.0,0.0,2.4765468625962477,2.0956842397957853,0.0,0.0,0.0,0.0
2024-03-25,9.744176984529044,0.0,3.3300351295603994,0.0,2.4753447720892114,2.0920779682746766,0.0,0.0,0.0,0.0
2024-03-26,9.720135174388318,7.171832243713018,3.3267494155078334,0.0,0.0,2.095203403592971,0.0,0.0,0.0,0.0
2024-03-27,9.718612526412738,0.0,3.3268295548749687,4.045818639745308,0.0,0.0,0.0,0.0,0.0,3.944780207890422
2024-03-28,9.727347717430536,0.0,3.318575200059986,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-02,0.0,7.16878694776186,3.3184149213257146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,9.629497550157778,0.0,3.3214602172768735,0.0,0.0,0.0,0.0,1.8293413336078874,0.0,0.0
2024-04-05,9.629577689524913,7.169989038268897,3.321620496011145,4.043975434301186,2.472299476138053,2.0940814524530706,0.0,0.0,0.0,0.0
2024-04-08,9.620762359139981,7.2008426946161626,3.327871366647734,4.043735016199779,2.4731008698094104,2.0927190832117626,0.0,0.0,0.0,0.0
2024-04-09,9.629337271423505,0.0,3.328111784749141,0.0,0.0,2.0927992225788983,0.0,0.0,0.0,3.9467836920688155
2024-04-10,9.620361662304303,7.1968357262593745,3.3275508091791908,4.042212368224199,2.4710172462638806,2.092125410780021,0.0,0.0,2.0407089144284423,0.0
2024-04-11,9.61058465951374,7.19803781676641,3.311442796384904,0.0,0.0,2.093728198122736,0.0,0.0,0.0,0.0
