date,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,BOCI SECURITIES LTD,CITIBANK N.A.,BOCOM INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CHINA CITIC BANK INTERNATIONAL LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD
2024-03-01,79.30874440580446,0.0,5.978132465821246,4.133791019941908,3.8778891993877025,5.954210508450988,0.0,0.7472324005936919,0.0,0.0
2024-03-04,71.56571595394385,9.646184548065145,5.461071923451243,3.7327099703352227,3.514761096697299,5.401067566682402,0.0,0.6784889408248345,0.0,0.0
2024-03-05,71.55048531858777,9.644991153787055,5.430095862494564,3.716701233792615,3.5148334706259776,5.465689270240206,0.0,0.6772036904718097,0.0,0.0
2024-03-06,71.36393510964157,9.676579643552396,5.438093981916202,3.7037864486156535,3.522274024385009,5.614906141829906,0.0,0.6804246500592617,0.0,0.0
2024-03-07,71.18012558287514,9.706078366791939,5.432713394964952,3.7105225555042103,3.5448269973719695,5.744322569179488,0.0,0.6814105333123148,0.0,0.0
2024-03-08,70.8803636637349,9.731576352159239,5.423169801954989,3.7014620341306403,3.554138637927838,6.027309478390115,0.0,0.6819800317022797,0.0,0.0
2024-03-11,70.75014966408675,9.785497702602742,5.440722441932784,3.699837035947119,3.568174487211274,6.066075737255403,0.0,0.6895429309639313,0.0,0.0
2024-03-12,70.54992901446546,9.814501893265021,5.4726621677030876,3.7418666470050423,3.575433055072283,6.179657524516307,0.0,0.6659496979727975,0.0,0.0
2024-03-13,68.51841634949326,9.552409323164106,5.306413740553102,3.516955163943932,3.476918963374181,5.993009584294583,2.093696842127483,0.647539524274839,0.0,0.8946405087744982
2024-03-14,68.38587272041879,9.518637674746905,5.257348019450574,3.4922934744633447,3.4673440264881243,6.245590280754883,2.0890531182718672,0.6512044483694922,0.0,0.8926562370360097
2024-03-15,68.56258300360763,9.546334141061994,5.263700726710846,3.4811281893903487,3.476817425077506,6.030145925909017,2.0940228859974606,0.6504878743258039,0.0,0.8947798279193958
2024-03-18,68.4768070383841,9.538281029812326,5.258238668977018,3.4620160460087432,3.473826845845582,6.156776222474894,2.0914849735668635,0.6488738016572606,0.0,0.8936953732732171
2024-03-19,68.93839824187633,9.500841113395236,5.260101600546861,3.240261911059987,3.4671816108347775,5.964172254261359,2.0881090802463422,0.6486813399265078,0.0,0.8922528478525978
2024-03-20,68.95810353605839,9.511032584105788,5.275900879073064,3.1849939523171966,3.4707798642597605,5.968374332421749,2.09057067962575,0.646939478346557,0.0,0.8933046937917426
2024-03-21,68.99865023113404,9.51781897927136,5.284559743139978,3.2029590695834456,3.4735010833246522,5.8884017871732794,2.092062361903993,0.6481046520983741,0.0,0.89394209237089
2024-03-22,69.21848505528398,9.544271781758255,5.287345277236745,3.19732119814709,3.4829709101826,5.624997647246689,2.097876815043965,0.6503046962163451,0.0,0.8964266188843389
2024-03-25,69.12287110089306,9.540863883996971,5.28345246447957,3.199150767588952,3.4792560220637982,5.735523440906403,2.0956392489385087,0.6477725683578258,0.0,0.8954705027749177
2024-03-26,69.15613507708123,9.542148154421502,5.289458843835943,3.209011689122866,3.4792645532698105,5.686435930070326,2.0952753229855836,0.6469554326663826,0.0,0.8953149965463512
2024-03-27,69.32684056834508,9.567125057843567,5.324379292575395,3.1433145481539135,3.488192704077257,5.495896081375402,2.1006520150365393,0.6559872656509682,0.0,0.8976124669418755
2024-03-28,64.49812876596425,8.900887824287397,4.889950949566092,2.7464812888030092,3.244909445352786,5.3427788957363855,1.9548998982403587,0.6857627971324362,0.0,0.8353323195481415
2024-04-02,68.76973858700475,9.52860306732837,5.2220191438696,2.95005592150213,3.463815189408983,5.34765118316733,2.088325203157498,0.7954390423045842,0.9420074646870028,0.8923451975697599
2024-04-03,68.65254234153922,9.516013941894446,5.187264587200217,2.9277816135052466,3.458640136268651,5.51620002521296,2.0852051770274436,0.8247400979455243,0.9406000747363927,0.8910120046699009
2024-04-05,68.63296130018578,9.49177852633154,5.195916297473205,2.953232652711672,3.458300192443659,5.515504631487763,2.0850921308983956,0.8357014870385858,0.9405490815782122,0.8909636998511845
2024-04-08,64.31152793816672,8.903060678473834,4.855078263454568,2.7920730382684855,3.2425369593304443,5.231718194395216,1.9548998982403587,0.7808337430397548,0.8818216119184551,0.8353323195481415
2024-04-09,64.3048729719532,8.9174385154526,4.855078263454568,2.7920730382684855,3.2415079292484648,5.302899063582625,1.9548998982403587,0.8095322486594024,0.8818216119184551,0.8353323195481415
2024-04-10,64.45776969163398,8.913179474279964,4.848532488766422,2.8074513211602885,3.24265129600622,5.285119710499537,1.9548998982403587,0.8113902196407542,0.8818216119184551,0.8353323195481415
